Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W862NGDP_R%,SAMOA,"Gross domestic product, constant prices",6.78,13.21,1.72,7.35,-10.62,-3.96,9.5,-1.01,16.88,10.81,-6.11,-9.03,-1.07,0.54,1.34,241.8,4.79,0.51,2.87,5.82,-6.44,-2.44,4.13,1.68,-0.14,6.82,6.13,1.6,1.25,2.5,3.5,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W716NGDP_R%,SAO TOME & PRINCIPE,"Gross domestic product, constant prices",3.79,5.38,2.3,1.58,5.68,5.38,1.64,23.43,2.89,16.35,-1.08,-10.31,3.09,-3.87,-6.03,9.3,-5.83,-2.93,2,3.14,-2.15,1.2,0.7,1.1,2.2,2,1.5,1,2.5,2.5,3,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W456NGDP_R%,SAUDI ARABIA,"Gross domestic product, constant prices",15.29,14.41,15.35,19.74,15.08,0.26,15.1,5.9,6.7,10.1,7.9,1.7,-10.79,-0.1,-2.15,-4.12,5.56,-1.38,7.56,0.18,10.66,8.39,2.79,-0.64,0.51,0.47,1.39,2.67,1.57,-1.01,4.13,4.83,3.04
"World Economic Outlook, May 2001",Annual percent change,W722NGDP_R%,SENEGAL,"Gross domestic product, constant prices",8.27,-0.12,6.43,-5.63,3.3,7.76,7.89,0.77,-6.24,9.64,-3.32,-1.81,14.34,1.36,-5.52,2.87,3.95,3.95,5.07,-1.4,3.88,-0.4,2.21,-2.22,2.87,5.16,5.14,5.04,5.66,5.13,5.55,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W718NGDP_R%,SEYCHELLES,"Gross domestic product, constant prices",9.9,7.48,4.88,4.61,6.26,2.08,5.62,7.88,6.72,16.04,-2.25,-3.88,-2.07,-0.62,4.31,10.29,0.76,4.87,5.33,10.29,7.45,2.74,6.86,6.51,-0.8,-0.62,4.7,4.26,2.3,-3,1.2,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W724NGDP_R%,SIERRA LEONE,"Gross domestic product, constant prices",6.44,13.76,-1.06,3.07,4.02,3.01,-3.04,1.44,1.61,4,-0.56,1.88,1.78,-1.58,1.7,-6.74,0.13,2.38,2.06,4.95,1.61,-7.99,-9.65,0.05,3.5,-10.02,-24.79,-17.6,-0.84,-8.12,3.81,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W576NGDP_R%,SINGAPORE,"Gross domestic product, constant prices",13.72,12.51,13.43,11.53,6.35,4.09,8.38,7.76,8.59,9.27,7.01,9.61,6.88,8.18,8.32,-1.62,2.29,9.72,11.63,9.63,8.98,7.27,6.51,12.71,11.4,7.96,7.54,8.39,0.31,5.86,9.89,5.01,5.82
"World Economic Outlook, May 2001",Annual percent change,W936NGDP_R%,SLOVAK REPUBLIC,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3.7,4.9,6.9,6.6,6.54,4.1,1.93,2.2,3.1,4.4
"World Economic Outlook, May 2001",Annual percent change,W961NGDP_R%,SLOVENIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2.84,5.33,4.11,3.53,4.56,3.79,5.21,4.87,4.5,4
"World Economic Outlook, May 2001",Annual percent change,W813NGDP_R%,SOLOMON ISLANDS,"Gross domestic product, constant prices",3.9,5.43,2.18,1.55,5.72,-10.7,14.59,7.37,7.12,18.07,-2.66,-1.8,-1.67,3.89,0.17,-3.13,-0.2,8.42,1.25,4.26,1,3,9.5,2.02,5.4,10.5,3.5,-2.3,0.5,-0.5,-1,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W199NGDP_R%,SOUTH AFRICA,"Gross domestic product, constant prices",5.26,5.24,1.97,3.94,7.14,2.24,1.47,0.03,2.87,3.79,6.62,5.36,-0.38,-1.85,5.1,-1.21,0.02,2.1,4.2,2.39,-0.32,-1.02,-2.14,1.23,3.23,3.12,4.15,2.5,0.69,1.87,3.2,3.8,3.8
"World Economic Outlook, May 2001",Annual percent change,W184NGDP_R%,SPAIN,"Gross domestic product, constant prices",4.08,5,8.1,7.9,5.7,1.1,3,3.3,1.83,0.2,0.74,-0.13,1.25,1.77,1.78,2.32,3.25,5.55,5.09,4.83,3.78,2.54,0.93,-1.03,2.38,2.76,2.44,3.94,4.32,4.02,4.07,2.85,3.16
