Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001
World Economic Outlook,Annual percent change,W443PCPI%,KUWAIT,Inflation,8.27,8.27,8.27,9.16,14.58,6.04,4.36,8.36,7.18,7.10,6.91,7.34,8.14,4.29,1.30,1.43,0.98,0.70,1.46,3.35,9.84,9.06,-0.55,0.38,2.49,2.72,3.60,0.70,0.50,1.90,1.50,1.80
World Economic Outlook,Annual percent change,W917PCPI%,KYRGYZ REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,85.00,853.80,772.40,189.90,38.91,30.30,25.50,12.00,36.80,28.40,11.80
World Economic Outlook,Annual percent change,W544PCPI%,LAO PEOPLE'S DEM.REP,Inflation,0.32,1.29,25.16,30.79,50.00,29.70,10.90,89.99,10.01,2.70,188.82,33.70,70.38,62.51,27.17,114.70,35.00,6.11,14.80,59.70,35.70,13.40,9.80,6.30,6.76,19.40,13.00,19.30,81.02,36.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W941PCPI%,LATVIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10.51,124.40,951.31,109.10,35.80,25.10,17.60,8.40,4.70,3.20,3.00,3.00
World Economic Outlook,Annual percent change,W446PCPI%,LEBANON,Inflation,0.00,1.56,4.92,6.00,12.29,20.05,28.83,19.00,10.10,23.70,23.90,19.30,18.60,7.20,17.60,69.40,95.40,487.20,155.00,72.20,88.91,50.10,99.84,24.68,7.97,10.63,8.89,7.75,4.54,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W666PCPI%,LESOTHO,Inflation,13.40,13.40,13.40,13.40,13.40,14.21,11.40,16.70,12.42,19.92,13.15,12.49,19.23,9.89,12.33,19.10,12.97,8.82,19.39,14.90,11.47,17.85,17.03,13.84,7.23,9.94,9.07,8.50,7.80,6.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W672PCPI%,LIBYA,Inflation,-5.22,-3.11,-0.26,8.01,7.42,9.17,5.44,6.29,10.82,16.44,14.12,13.40,13.81,10.48,12.41,9.09,3.27,4.40,3.10,4.48,5.29,11.70,18.00,23.00,14.52,10.98,13.01,7.99,7.00,6.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W946PCPI%,LITHUANIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.76,224.70,1021.00,410.44,72.07,39.46,24.68,8.85,5.10,0.80,2.00,2.00
World Economic Outlook,Annual percent change,W137PCPI%,LUXEMBOURG,Inflation,3.91,4.35,5.45,6.96,12.68,12.77,9.17,7.11,3.09,4.55,6.30,8.07,9.36,8.67,5.64,4.09,0.29,-0.13,1.52,3.37,3.70,3.12,3.15,3.58,2.20,1.92,1.39,1.37,0.96,1.00,1.60,1.40
World Economic Outlook,Annual percent change,W962PCPI%,"MACEDONIA, FYR",Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1692.60,338.64,126.42,16.25,2.00,1.80,-1.00,-0.40,n.a.,n.a.
World Economic Outlook,Annual percent change,W674PCPI%,MADAGASCAR,Inflation,2.82,5.49,5.62,6.11,22.00,8.22,4.99,3.08,6.56,13.98,18.28,30.46,31.91,19.47,9.72,10.57,14.49,15.46,26.34,9.01,11.79,8.54,15.29,9.24,39.07,49.04,19.77,4.53,6.20,9.40,n.a.,n.a.
World Economic Outlook,Annual percent change,W676PCPI%,MALAWI,Inflation,9.53,8.20,3.60,5.08,15.51,15.54,4.34,4.07,10.75,13.07,19.19,12.00,9.52,13.77,19.75,10.64,14.18,25.05,33.84,12.45,11.86,8.23,23.24,22.78,34.66,83.15,37.73,9.14,29.78,45.07,n.a.,n.a.
World Economic Outlook,Annual percent change,W548PCPI%,MALAYSIA,Inflation,1.91,1.58,3.21,10.55,17.38,4.50,2.57,4.81,4.99,3.54,6.72,9.70,5.83,3.70,3.90,2.59,0.35,0.74,0.29,2.56,2.81,2.62,4.72,3.54,3.73,3.40,3.53,2.66,5.28,2.74,2.47,3.24
World Economic Outlook,Annual percent change,W556PCPI%,MALDIVES,Inflation,4.32,5.62,5.49,10.03,18.34,0.00,31.40,-0.76,13.88,20.00,27.88,11.10,-0.81,9.89,0.99,-9.16,9.10,11.70,6.48,7.16,3.62,14.73,16.82,20.10,3.40,5.50,6.20,7.20,5.00,2.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W678PCPI%,MALI,Inflation,14.32,21.05,7.35,18.72,11.18,5.82,8.00,22.13,30.78,-0.93,20.25,3.90,3.90,6.21,4.04,10.80,-1.39,-14.94,8.95,-0.20,1.63,1.50,-5.91,-0.63,24.78,12.40,6.45,-0.67,4.05,-1.06,n.a.,n.a.
World Economic Outlook,Annual percent change,W181PCPI%,MALTA,Inflation,3.70,2.32,3.33,7.77,7.28,8.80,0.55,10.05,4.70,7.08,15.79,11.48,5.81,-0.88,-0.43,-0.21,2.04,0.42,0.94,0.84,2.97,2.55,1.85,4.03,4.13,3.97,2.38,3.11,2.39,2.47,n.a.,n.a.
World Economic Outlook,Annual percent change,W867PCPI%,MARSHALL ISLANDS,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,-0.60,2.60,2.20,0.70,4.00,10.30,5.00,5.63,8.26,9.60,4.83,4.00,3.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W682PCPI%,MAURITANIA,Inflation,10.31,7.19,4.97,18.55,14.62,16.58,6.58,5.78,2.42,12.43,5.91,6.90,9.76,6.08,13.51,10.32,7.80,8.20,6.30,9.00,6.40,5.60,10.10,9.35,4.10,6.50,4.70,4.55,8.02,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W684PCPI%,MAURITIUS,Inflation,1.63,0.25,5.38,13.49,29.11,14.76,12.95,9.63,10.03,7.95,33.04,26.45,13.38,7.45,5.53,8.32,4.34,0.72,1.50,15.95,10.71,12.81,2.88,8.92,9.36,6.05,5.79,7.89,5.30,5.60,n.a.,n.a.
World Economic Outlook,Annual percent change,W273PCPI%,MEXICO,Inflation,5.21,5.26,5.00,12.04,23.74,15.15,15.79,29.00,17.54,18.13,26.47,28.00,58.87,101.88,65.54,57.75,86.23,131.82,114.16,20.01,26.65,22.70,15.50,9.78,6.97,34.77,35.26,20.82,15.90,16.59,10.11,9.00
World Economic Outlook,Annual percent change,W868PCPI%,"MICRONESIA, FED.STS.",Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8.50,-3.10,3.70,4.50,3.50,4.00,5.00,6.00,4.00,4.00,4.00,3.00,3.00,3.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W921PCPI%,MOLDOVA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,162.00,1276.00,788.50,329.64,30.22,23.51,11.77,7.70,39.26,29.47,10.03
World Economic Outlook,Annual percent change,W948PCPI%,MONGOLIA,Inflation,n.a.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,2.50,0.00,0.59,-0.97,0.00,0.00,0.00,0.00,0.00,20.20,202.58,268.38,87.57,56.90,46.90,36.60,9.40,7.90,5.50,4.30
World Economic Outlook,Annual percent change,W686PCPI%,MOROCCO,Inflation,1.30,4.09,3.78,4.14,17.53,7.87,8.51,17.38,12.30,7.91,7.52,16.26,16.24,0.78,19.13,7.76,8.70,2.76,2.34,3.14,6.91,7.99,5.74,5.18,5.14,6.12,2.99,0.89,2.91,0.79,3.00,2.50
World Economic Outlook,Annual percent change,W688PCPI%,MOZAMBIQUE,Inflation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.20,17.69,28.20,30.04,30.78,40.49,164.11,58.51,42.08,43.72,33.26,45.08,42.25,63.12,54.43,44.61,6.38,0.56,1.74,n.a.,n.a.
World Economic Outlook,Annual percent change,W518PCPI%,MYANMAR,Inflation,-4.01,2.09,7.64,25.30,25.18,31.58,22.39,-1.15,-3.96,5.71,-0.10,1.40,5.23,5.91,5.24,6.26,14.74,17.63,23.98,23.82,21.91,29.13,22.29,33.57,22.44,28.92,20.00,10.00,10.00,10.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W728PCPI%,NAMIBIA,Inflation,5.59,6.53,9.50,11.60,13.52,11.24,11.13,10.19,13.08,13.78,13.84,14.76,15.54,12.00,9.10,11.94,13.38,12.62,12.53,15.46,12.02,11.90,17.73,8.53,10.76,10.01,8.01,8.83,6.21,5.39,n.a.,n.a.
World Economic Outlook,Annual percent change,W558PCPI%,NEPAL,Inflation,15.23,-2.02,8.38,11.43,19.82,7.59,-3.11,9.90,12.71,3.58,10.88,15.47,10.40,-10.90,4.10,23.44,10.82,10.53,10.23,7.38,15.14,19.30,5.86,9.08,8.70,9.15,1.65,10.13,8.99,7.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W138PCPI%,NETHERLANDS,Inflation,3.73,7.48,7.79,8.01,9.61,10.21,9.06,6.47,4.08,4.21,6.55,6.80,5.90,2.90,3.40,2.30,0.00,-1.00,0.50,1.10,2.50,3.10,3.20,2.60,2.70,2.00,2.10,2.20,2.00,2.00,2.25,3.50
World Economic Outlook,Annual percent change,W353PCPI%,NETHERLANDS ANTILLES,Inflation,3.56,2.10,4.11,8.09,19.41,15.60,5.25,5.45,8.07,11.43,14.60,12.20,6.09,2.84,2.09,0.50,1.25,3.30,2.10,3.80,3.70,3.80,1.50,1.90,1.90,2.70,3.50,3.50,3.50,3.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W196PCPI%,NEW ZEALAND,Inflation,6.55,10.45,6.92,8.12,11.25,14.53,16.79,14.59,11.90,13.70,17.09,15.35,15.63,6.89,6.10,27.24,12.97,15.47,3.68,-1.57,6.23,3.10,2.11,1.72,1.81,2.38,2.27,1.75,1.56,1.35,2.30,2.04
World Economic Outlook,Annual percent change,W278PCPI%,NICARAGUA,Inflation,26.67,27.37,26.86,27.04,13.33,7.69,2.73,11.45,4.59,75.69,35.14,23.80,24.86,31.07,35.45,219.46,681.63,911.92,14315.80,4709.30,3127.50,7755.30,40.50,20.40,7.70,11.20,6.80,5.70,5.00,5.00,n.a.,n.a.
