Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W734PCPI%,SWAZILAND,Inflation,1.87,2.3,2.34,13.43,19.04,13.26,4.7,20.82,8.9,14.6,18.2,20.06,10.81,11.57,12.94,20.46,13.74,13.38,21.68,7.55,13.09,8.93,7.56,12.02,13.77,12.29,6.43,7.13,8.11,6.09,6.5,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W144PCPI%,SWEDEN,Inflation,7.02,7.4,6.01,6.72,9.91,9.78,10.25,11.43,9.92,7.21,13.7,12.11,8.58,8.91,8.02,7.37,4.23,4.22,5.8,6.44,10.47,9.34,2.28,4.65,2.2,2.53,0.47,0.52,-0.14,0.49,1.01,1.8,1.9
"World Economic Outlook, May 2001",Annual percent change,W146PCPI%,SWITZERLAND,Inflation,3.62,6.57,6.66,8.76,9.77,6.7,1.72,1.29,1.06,3.65,4.02,6.49,5.66,3.02,2.88,3.47,0.77,1.41,1.86,3.16,5.4,5.86,4.04,3.29,0.85,1.8,0.81,0.52,0.02,0.81,1.56,1.4,1.5
"World Economic Outlook, May 2001",Annual percent change,W463PCPI%,SYRIAN ARAB REPUBLIC,Inflation,4.24,4.88,0.78,20,15.38,11.46,11.43,11.79,5.1,4.36,19.33,18.4,14.27,5.99,9.45,16.82,36.19,71.43,30,15.38,11.11,19,3.36,23.58,3.95,7.72,8.87,1.89,-0.42,-2.1,1.5,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W528PCPI%,TAIWAN PROV.OF CHINA,Inflation,3.59,2.78,2.98,8.18,47.32,5.23,2.5,7.04,5.76,9.76,19,16.33,2.96,1.37,-0.03,-0.16,0.7,0.52,1.29,4.4,4.13,3.62,4.47,2.94,4.13,3.71,3.08,0.89,1.68,0.16,1.25,1.4,1.5
"World Economic Outlook, May 2001",Annual percent change,W923PCPI%,TAJIKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.6,111.6,1156.66,2194.92,350.4,610,418.22,87.96,43.17,27.56,34,39.6,8.8
"World Economic Outlook, May 2001",Annual percent change,W738PCPI%,TANZANIA,Inflation,3.52,4.7,7.64,10.47,19.2,26.48,6.87,11.62,11.48,13.76,30.2,30.3,25.7,28.9,27.1,36.1,33.3,32.4,30,31.2,30.4,28.04,21.93,23.62,37.15,26.47,21.05,16.13,12.57,6.28,6.2,4.98,4.24
"World Economic Outlook, May 2001",Annual percent change,W578PCPI%,THAILAND,Inflation,-0.09,0.44,4.91,15.46,24.33,5.3,4.15,7.58,7.85,9.93,19.71,12.7,4.53,4.67,0.65,2.42,1.85,2.48,3.86,5.5,6,5.7,4.07,3.36,5.1,5.77,5.85,5.61,8.1,0.3,1.55,2.1,3.59
"World Economic Outlook, May 2001",Annual percent change,W742PCPI%,TOGO,Inflation,4.48,6.49,7.72,3.61,12.83,18.01,11.64,22.46,1.42,7.51,12.32,10,10.3,9.7,-3.7,-1.9,4.1,2.5,1,2,1.53,5.04,-2.11,2.35,48.5,6.39,2.47,5.48,-1.41,4.53,-2.49,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W866PCPI%,TONGA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11.66,17.48,9.58,5.45,-7.35,14.9,10.88,9.73,7.91,5.2,29.87,7.7,10.33,3.97,5.63,13.48,8.68,3.06,2.37,0.48,2.64,1.98,3.1,3.85,5.34,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W369PCPI%,TRINIDAD AND TOBAGO,Inflation,2.52,3.5,9.29,14.83,21.99,16.99,10.57,11.11,10.58,14.43,17.48,14.49,11.41,16.84,13.28,7.66,7.69,13.42,12.06,4.63,11.03,3.85,6.47,13.24,3.69,5.34,-2.75,3.64,5.65,3.41,3.45,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W744PCPI%,TUNISIA,Inflation,1.11,6,1.89,4.72,4.07,9.52,5.35,6.74,5.24,7.83,10.01,8.9,13.67,8.97,8.6,7.55,6.16,8.22,7.16,7.72,6.5,7.69,5.52,4.04,4.54,6.28,3.75,3.7,3.12,2.74,3.03,2.9,2.7
"World Economic Outlook, May 2001",Annual percent change,W186PCPI%,TURKEY,Inflation,6.92,15.72,11.65,15.42,15.8,19.18,17.35,23.02,53.2,61.8,110.17,36.58,30.84,31.4,48.38,44.96,34.62,38.84,73.68,63.28,60.3,65.98,70.07,66.1,106.25,93.68,82.29,85.73,84.64,64.87,54.9,48.4,28.4
"World Economic Outlook, May 2001",Annual percent change,W925PCPI%,TURKMENISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.2,102.5,492.9,3102.4,1748.3,1005.24,992.39,83.72,16.77,23.47,8,15,15
"World Economic Outlook, May 2001",Annual percent change,W746PCPI%,UGANDA,Inflation,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,49.45,94.95,99.2,100,100,150,16.71,100,143.8,215.4,166.7,130.8,45.4,20.82,42.24,29.96,6.53,6.11,7.49,7.75,5.8,-0.2,6.33,5,5
"World Economic Outlook, May 2001",Annual percent change,W926PCPI%,UKRAINE,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.2,91.17,1209.96,4734.91,891.19,376.35,80.23,15.89,10.59,22.72,28.2,15.1,12.1
"World Economic Outlook, May 2001",Annual percent change,W466PCPI%,UNITED ARAB EMIRATES,Inflation,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.97,13.04,10.99,10.07,7.95,7.08,1.3,2.43,3.5,5.43,5.5,4.99,2.79,0.6,6.1,6.5,4.42,5,4.36,2.63,2.07,1.96,1.95,1.97,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W112PCPI%,UNITED KINGDOM,Inflation,6.35,9.45,7.08,9.19,15.95,24.3,16.71,15.83,8.64,12.61,16.85,12.19,8.51,5.2,4.45,5.16,3.63,4.07,4.61,5.91,8.15,6.76,4.72,2.99,2.38,2.82,2.96,2.76,2.65,2.29,2.1,2.19,2.4
"World Economic Outlook, May 2001",Annual percent change,W111PCPI%,UNITED STATES,Inflation,5.88,4.23,3.27,6.26,11.01,9.14,5.77,6.47,7.63,11.25,13.5,10.38,4.03,5.27,4.37,3.53,1.94,3.67,4.07,4.8,5.42,4.22,3.04,2.96,2.61,2.81,2.92,2.34,1.54,2.18,3.37,2.62,2.16
"World Economic Outlook, May 2001",Annual percent change,W298PCPI%,URUGUAY,Inflation,16.96,23.95,76.49,96.98,77.21,84.85,53.48,61.1,47.26,66.85,63.48,34.05,18.99,49.2,55.31,72.22,76.38,63.57,62.19,80.45,112.53,101.8,68.46,54.23,44.74,42.25,28.34,19.8,10.81,5.66,4.76,4.95,4.4
"World Economic Outlook, May 2001",Annual percent change,W927PCPI%,UZBEKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,109.7,645.16,534.17,1568.34,304.6,53.96,70.86,28.98,29.1,25.4,35.5,24.7
"World Economic Outlook, May 2001",Annual percent change,W846PCPI%,VANUATU,Inflation,5.65,4.47,6.02,12.96,17.11,6.96,0.29,4.73,6.69,3.39,9.89,22,9.02,3.46,6.83,2.04,4.8,14.72,8.36,7.53,4.98,6.5,4.05,3.57,2.32,2.19,0.91,2.87,3.24,2,1.96,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W299PCPI%,VENEZUELA,Inflation,2.49,3.22,2.83,4.13,8.27,10.28,7.59,7.78,7.02,12.47,21.36,16.24,9.61,6.24,12.25,11.34,11.61,28.18,29.41,84.46,40.66,34.21,31.42,38.12,60.82,59.92,99.88,50.04,35.78,23.57,16.21,12.49,13.58
"World Economic Outlook, May 2001",Annual percent change,W582PCPI%,VIETNAM,Inflation,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.07,4.04,25.16,69.6,95.4,49.49,64.9,91.6,487.2,316.71,394,35,67,84.36,37.82,8.38,9.48,16.93,5.59,3.1,7.89,4.12,-1.71,4.03,4.22
"World Economic Outlook, May 2001",Annual percent change,W474PCPI%,"YEMEN, REPUBLIC OF",Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,33.5,44.91,50.63,62.36,71.28,62.51,39.96,4.64,11.54,9.17,7.97,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W754PCPI%,ZAMBIA,Inflation,2.6,6.04,5.06,6.46,8.1,10.13,18.8,19.78,16.37,9.66,11.73,14,12.49,19.69,20.02,37.43,54.8,47.03,54.04,128.29,109.56,97.7,165.72,183.26,54.61,34.91,43.09,24.41,24.46,26.79,22.27,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W698PCPI%,ZIMBABWE,Inflation,2.09,3.02,2.85,3.11,6.6,10.01,11.04,10.26,8.23,12.55,7.24,13.24,10.39,23.24,20.29,8.33,14.47,12.48,7.4,12.85,17.37,23.3,42.09,27.63,22.23,22.61,21.43,18.85,32.32,57.77,55.86,n.a.,n.a.
